X1,X2
2.7,31.0
2.7,28.0
2.6,21.0
3.1,28.0
3.2,21.0
3.3,27.5
2.4,29.0
2.3,29.0
3.3,22.0
2.8,34.0
2.7,27.0
2.8,26.0
2.5,27.0
2.0,34.0
2.9,21.0
2.6,27.0
3.7,32.105694227769106
3.1,28.0
2.4,20.0
2.8,28.0
2.6,21.0
2.6,32.0
3.3,28.0
3.200000000000005,37.588515176374244
2.4,25.0
2.6,26.0
3.0,32.0
2.3,27.7
2.5,20.0
2.2,26.5
3.0,22.5
2.3,27.7
2.9,27.5
2.2,28.0
3.3,29.0
3.3,27.422776911076394
2.8,23.0
3.4,18.0
2.1,27.5
3.2856549083948567,28.021033634126322
3.5,25.0
2.7,27.0
2.4,28.0
3.5,30.0
2.9,25.0
2.4,30.0
3.1,27.0
3.0,35.0
1.8,19.7
3.6,21.7
2.9579327317473365,32.14022422750892
3.6,28.5
3.0,24.0
2.9,26.0
2.8,28.0
2.1,27.0
3.0,33.0
3.1,25.7
2.8,20.0
3.0,24.0
2.5262870514820603,22.631435257410303
1.8737129485179396,31.368564742589697
3.1,31.0
2.6,31.0
3.4,22.5
2.8,20.0
2.6,22.0
2.9,27.5
2.7911457478807793,35.280448455017805
3.2,21.0
3.1,29.0
2.4,25.0
3.4,29.0
2.4,36.0
2.4,35.0
3.0,24.5
2.9,16.0
3.1,30.0
3.1,35.0
3.1,28.0
3.1,20.0
2.7,34.0
3.4,30.0
2.8,35.0
2.9,27.0
3.3,27.0
3.2,30.5
2.5,19.0
2.9,34.0
3.0,36.0
2.7,36.0
2.9,26.0
3.5,32.0
2.2,35.0
2.3,35.0
3.4,32.0
3.1,29.0
2.8,32.0
3.2,30.0
3.3,28.0
3.3,30.0
2.6,28.0
2.8,31.0
3.7,28.0
2.4,22.0
3.7,33.0
2.6,33.0
2.9,27.5
3.6,26.0
3.6,31.0
3.6,29.0
2.7,28.0
3.6,27.1314352574103
2.9,32.0
2.7,40.0
2.3,26.0
3.3,28.0
3.5,32.0
3.0,31.0
3.6,23.5
3.2,32.0
3.6,30.0
2.9,33.0
2.4,25.0
2.7,32.0
2.8,32.0
3.0,23.0
3.0,33.0
3.2,28.0
2.9,33.78861154446179
3.3,30.0
3.1,30.0
2.7,34.0
3.3,28.788611544461794
3.2182280557834186,39.82652447361228
3.3,31.0
2.4,22.3
2.7,33.0
3.5,27.0
3.0,29.0
2.9,25.5
3.3,29.0
2.4,36.0
3.5,26.0
3.8,28.0
2.8,32.0
2.5,39.0
2.908580343213916,32.0
2.9,32.0
3.0,30.0
3.1,32.0
3.4,28.0
3.2,20.5
3.5,29.0
2.4,28.0
2.5,26.0
3.2,19.208970358816654
1.9,31.5
3.6,33.0
3.1,20.0
2.7,28.0
3.6,31.0
2.7,28.0
2.5,27.0
2.5,27.0
2.4,28.0
2.8,29.0
2.6,22.0
2.7,29.0
3.2,18.0
3.9033251298878873,39.98337435056058
2.6,21.5
2.7,23.0
2.8,26.0
2.7,22.0
2.6,23.5
2.7,24.0
2.5,26.0
3.9,31.0
